1, , ,135/70 R15,63.54,summer,www.dexel.co.uk
2,Economy,,135/80 R13,47.04,summer,www.dexel.co.uk
3,Economy,,145/70 R13,46.68,summer,www.dexel.co.uk
4,Uniroyal,RainExpert 3,145/70 R13,62.82,summer,www.dexel.co.uk
5,Economy,,145/80 R10,40.14,summer,www.dexel.co.uk
6,Economy,,145/80 R12,43.74,summer,www.dexel.co.uk
7,Economy,,145/80 R13,45.04,summer,www.dexel.co.uk
8,Uniroyal,RainExpert 3,145/80 R13,61.12,summer,www.dexel.co.uk
9,Vredestein,Quatrac 5,145/80 R13,74.59,winter,www.dexel.co.uk
10,Economy,,155/60 R15,55.8,summer,www.dexel.co.uk
11,Continental,EcoContact 3,155/60 R15,86.19,summer,www.dexel.co.uk
12,Vredestein,Quatrac 5,155/60 R15,87.58,winter,www.dexel.co.uk
13,Economy,,155/65 R13,43.6,summer,www.dexel.co.uk
14,Dexel,Premium Choice,155/65 R13,60.73,summer,www.dexel.co.uk
15,Uniroyal,RainExpert 3,155/65 R13,63.37,summer,www.dexel.co.uk
16,Goodyear,EfficientGrip Compact,155/65 R13,68.89,summer,www.dexel.co.uk
17,Dunlop,SP Street Response 2,155/65 R13,69.99,summer,www.dexel.co.uk
18,Economy,,155/65 R14,45.78,summer,www.dexel.co.uk
19,Hankook,Kinergy Eco (K425),155/65 R14,57.63,summer,www.dexel.co.uk
20,Dexel,Premium Choice,155/65 R14,61.94,summer,www.dexel.co.uk
21,Vredestein,Quatrac 5,155/65 R14,70.92,winter,www.dexel.co.uk
22,Vredestein,T-Trac 2,155/65 R14,71.92,summer,www.dexel.co.uk
23,Goodyear,EfficientGrip Compact,155/65 R14,74.34,summer,www.dexel.co.uk
24,Dunlop,SP Street Response 2,155/65 R14,74.34,summer,www.dexel.co.uk
25,Continental,EcoContact 6,155/65 R14,79.68,summer,www.dexel.co.uk
26,Economy,,155/70 R12,37.8,summer,www.dexel.co.uk
27,Economy,,155/70 R13,46.04,summer,www.dexel.co.uk
28,Hankook,Kinergy Eco (K425),155/70 R13,55.84,summer,www.dexel.co.uk
29,Yokohama,AE01 BluEarth,155/70 R13,56.13,summer,www.dexel.co.uk
30,Dexel,Premium Choice,155/70 R13,58.64,summer,www.dexel.co.uk
31,Uniroyal,RainExpert 3,155/70 R13,59.6,summer,www.dexel.co.uk
32,Goodyear,EfficientGrip Compact,155/70 R13,66.48,summer,www.dexel.co.uk
33,Vredestein,Quatrac 5,155/70 R13,67.27,winter,www.dexel.co.uk
34,Dunlop,SP Street Response 2,155/70 R13,67.58,summer,www.dexel.co.uk
35,Economy,,155/80 R12,42.99,summer,www.dexel.co.uk
36,Economy,,155/80 R13,44.46,summer,www.dexel.co.uk
37,Economy,,155/80 R13,45.61,summer,www.dexel.co.uk
38,Dexel,Premium Choice,155/80 R13,61.27,summer,www.dexel.co.uk
39,Dexel,Premium Choice,155/80 R13,61.89,summer,www.dexel.co.uk
40,Uniroyal,RainExpert 3,155/80 R13,62.97,summer,www.dexel.co.uk
41,Dunlop,SP Street Response 2,155/80 R13,68.17,summer,www.dexel.co.uk
42,Vredestein,Quatrac 5,155/80 R13,71.01,winter,www.dexel.co.uk
43,Continental,EcoContact 6,155/80 R13,73.32,summer,www.dexel.co.uk
44,Economy,,165/60 R12,85.8,summer,www.dexel.co.uk
45,Economy,,165/60 R14,45.96,summer,www.dexel.co.uk
46,Economy,,165/60 R14,45.96,summer,www.dexel.co.uk
47,Dexel,Premium Choice,165/60 R14,75.42,summer,www.dexel.co.uk
48,Goodyear,DuraGrip,165/60 R14,88.27,summer,www.dexel.co.uk
49,Vredestein,Sportrac 5,165/60 R14,90.0,summer,www.dexel.co.uk
50,Vredestein,Quatrac 5,165/60 R14,92.85,winter,www.dexel.co.uk
51,,,165/60 R14,107.53,winter,www.dexel.co.uk
52, , ,165/60 R15,49.08,summer,www.dexel.co.uk
53,Hankook,Kinergy Eco (K425),165/60 R15,71.84,summer,www.dexel.co.uk
54,Dexel,Premium Choice,165/60 R15,80.48,summer,www.dexel.co.uk
